ID_Venta,Fecha,ID_Producto,ID_Cliente,ID_Vendedor,Cantidad,Precio_Unitario,Descuento,Total_Venta,Costo_Unitario,Utilidad
VTA00041,2024-12-06,P004,C009,V005,3,300,15,765.0,200,300
VTA00042,2024-06-27,P004,C020,V001,5,300,0,1500.0,200,500
VTA00043,2024-07-07,P004,C003,V002,1,300,10,270.0,200,100
VTA00044,2025-03-11,P003,C011,V001,2,150,0,300.0,90,120
VTA00045,2025-03-23,P005,C001,V003,3,100,5,285.0,60,120
VTA00046,2024-06-16,P005,C020,V002,1,100,5,95.0,60,40
VTA00047,2025-03-17,P004,C001,V002,1,300,10,270.0,200,100
VTA00048,2025-08-22,P004,C007,V005,2,300,10,540.0,200,200
VTA00049,2024-06-13,P005,C018,V009,4,100,10,360.0,60,160
VTA00050,2024-02-19,P003,C001,V007,2,150,0,300.0,90,120
VTA00051,2024-07-26,P002,C002,V003,1,800,10,720.0,600,200
VTA00052,2025-04-22,P005,C019,V003,4,100,10,360.0,60,160
VTA00053,2024-12-16,P004,C014,V010,4,300,10,1080.0,200,400
VTA00054,2024-09-28,P001,C005,V009,2,1200,15,2040.0,900,600
VTA00055,2024-04-28,P004,C009,V009,5,300,10,1350.0,200,500
VTA00056,2025-12-04,P003,C017,V007,4,150,15,510.0,90,240
VTA00057,2024-02-01,P003,C005,V001,1,150,15,127.5,90,60
VTA00058,2025-10-24,P003,C020,V005,2,150,0,300.0,90,120
VTA00059,2024-04-01,P004,C015,V003,3,300,10,810.0,200,300
VTA00060,2025-03-29,P002,C020,V003,2,800,10,1440.0,600,400
VTA00061,2024-04-20,P005,C011,V002,5,100,15,425.0,60,200
VTA00062,2025-07-19,P005,C011,V002,3,100,0,300.0,60,120
VTA00063,2025-07-24,P005,C009,V009,5,100,15,425.0,60,200
VTA00064,2024-04-11,P002,C015,V006,3,800,15,2040.0,600,600
VTA00065,2024-03-10,P003,C013,V001,2,150,10,270.0,90,120
VTA00066,2024-03-25,P003,C002,V008,1,150,15,127.5,90,60
VTA00067,2025-05-21,P004,C020,V002,3,300,15,765.0,200,300
VTA00068,2024-01-30,P004,C005,V007,5,300,10,1350.0,200,500
VTA00069,2024-06-09,P002,C008,V010,2,800,10,1440.0,600,400
VTA00070,2024-01-29,P002,C006,V010,4,800,15,2720.0,600,800
VTA00071,2024-11-26,P001,C010,V001,3,1200,15,3060.0,900,900
VTA00072,2024-09-05,P001,C019,V006,4,1200,0,4800.0,900,1200
VTA00073,2025-02-08,P001,C011,V006,5,1200,15,5100.0,900,1500
VTA00074,2025-11-15,P001,C004,V004,4,1200,10,4320.0,900,1200
VTA00075,2024-04-29,P002,C002,V009,3,800,15,2040.0,600,600
VTA00076,2024-03-22,P003,C001,V007,5,150,15,637.5,90,300
VTA00077,2024-09-03,P004,C013,V003,4,300,15,1020.0,200,400
VTA00078,2024-03-17,P003,C008,V006,4,150,15,510.0,90,240
VTA00079,2024-02-02,P001,C009,V003,2,1200,10,2160.0,900,600
VTA00080,2025-04-22,P001,C008,V003,4,1200,15,4080.0,900,1200
VTA00081,2024-04-02,P004,C004,V002,5,300,5,1425.0,200,500
VTA00082,2025-01-19,P001,C012,V005,3,1200,5,3420.0,900,900
VTA00083,2025-02-23,P003,C010,V006,3,150,0,450.0,90,180
VTA00084,2024-03-16,P002,C013,V005,1,800,0,800.0,600,200
VTA00085,2024-08-11,P005,C013,V007,4,100,0,400.0,60,160
VTA00086,2025-10-14,P002,C006,V005,3,800,5,2280.0,600,600
VTA00087,2025-12-24,P004,C004,V002,5,300,5,1425.0,200,500
VTA00088,2024-09-07,P002,C002,V005,5,800,10,3600.0,600,1000
VTA00089,2025-02-27,P001,C012,V009,3,1200,0,3600.0,900,900
VTA00090,2024-07-15,P002,C005,V004,4,800,10,2880.0,600,800
VTA00091,2024-06-22,P002,C010,V004,4,800,0,3200.0,600,800
VTA00092,2025-02-24,P003,C020,V005,5,150,5,712.5,90,300
VTA00093,2025-01-22,P004,C010,V002,4,300,5,1140.0,200,400
VTA00094,2025-03-04,P005,C009,V010,1,100,15,85.0,60,40
VTA00095,2025-09-23,P005,C015,V006,1,100,10,90.0,60,40
VTA00096,2025-05-22,P001,C019,V002,4,1200,5,4560.0,900,1200
VTA00097,2025-07-03,P003,C014,V006,4,150,15,510.0,90,240
VTA00098,2025-07-23,P005,C014,V008,2,100,15,170.0,60,80
VTA00099,2024-07-06,P005,C004,V002,1,100,15,85.0,60,40
VTA00100,2024-05-11,P003,C015,V004,3,150,10,405.0,90,180
VTA00101,2025-07-20,P002,C011,V008,4,800,15,2720.0,600,800
VTA00102,2024-06-27,P001,C009,V002,1,1200,10,1080.0,900,300
VTA00103,2024-04-17,P004,C015,V010,4,300,0,1200.0,200,400
VTA00104,2024-06-02,P004,C006,V002,4,300,10,1080.0,200,400
VTA00105,2025-07-11,P001,C013,V010,1,1200,0,1200.0,900,300
VTA00106,2025-12-01,P004,C006,V001,3,300,0,900.0,200,300
VTA00107,2025-04-29,P004,C011,V004,4,300,10,1080.0,200,400
VTA00108,2024-10-21,P004,C009,V009,5,300,0,1500.0,200,500
VTA00109,2025-04-05,P004,C005,V003,4,300,0,1200.0,200,400
VTA00110,2025-02-04,P002,C008,V007,1,800,15,680.0,600,200
VTA00111,2024-03-12,P004,C018,V007,4,300,15,1020.0,200,400
VTA00112,2024-03-30,P005,C017,V002,4,100,10,360.0,60,160
VTA00113,2024-05-18,P002,C017,V004,4,800,5,3040.0,600,800
VTA00114,2024-01-29,P001,C007,V006,4,1200,15,4080.0,900,1200
VTA00115,2025-10-26,P004,C016,V004,5,300,5,1425.0,200,500
VTA00116,2025-03-06,P003,C012,V006,5,150,0,750.0,90,300
VTA00117,2024-11-11,P002,C005,V004,1,800,10,720.0,600,200
VTA00118,2024-04-20,P001,C019,V002,3,1200,5,3420.0,900,900
VTA00119,2024-01-21,P005,C017,V004,5,100,0,500.0,60,200
VTA00120,2024-07-04,P004,C019,V010,4,300,15,1020.0,200,400
VTA00121,2025-06-27,P003,C008,V010,3,150,0,450.0,90,180
VTA00122,2025-05-04,P002,C008,V007,4,800,10,2880.0,600,800
VTA00123,2025-09-20,P004,C016,V004,3,300,15,765.0,200,300
VTA00124,2024-02-28,P003,C002,V007,3,150,10,405.0,90,180
VTA00125,2025-11-11,P002,C015,V005,2,800,0,1600.0,600,400
VTA00126,2024-06-05,P001,C006,V004,1,1200,15,1020.0,900,300
VTA00127,2025-07-31,P004,C003,V006,5,300,5,1425.0,200,500
VTA00128,2025-10-27,P004,C005,V002,4,300,15,1020.0,200,400
VTA00129,2025-06-11,P004,C004,V006,5,300,5,1425.0,200,500
VTA00130,2025-12-30,P003,C014,V009,1,150,10,135.0,90,60
VTA00131,2025-10-18,P001,C018,V005,1,1200,15,1020.0,900,300
VTA00132,2025-06-02,P003,C012,V002,2,150,5,285.0,90,120
VTA00133,2024-05-07,P001,C005,V007,2,1200,15,2040.0,900,600
VTA00134,2025-08-05,P002,C009,V002,3,800,5,2280.0,600,600
VTA00135,2024-10-12,P003,C004,V009,2,150,5,285.0,90,120
VTA00136,2024-02-11,P003,C015,V010,1,150,0,150.0,90,60
VTA00137,2024-08-26,P004,C004,V010,1,300,0,300.0,200,100
VTA00138,2025-04-25,P001,C008,V009,2,1200,10,2160.0,900,600
VTA00139,2024-12-29,P003,C001,V009,1,150,10,135.0,90,60
VTA00140,2025-03-13,P001,C007,V003,1,1200,0,1200.0,900,300
VTA00141,2025-12-11,P003,C001,V005,3,150,0,450.0,90,180
VTA00142,2024-03-24,P003,C001,V005,1,150,15,127.5,90,60
VTA00143,2024-02-01,P004,C011,V008,4,300,5,1140.0,200,400
VTA00144,2025-08-26,P004,C014,V003,5,300,5,1425.0,200,500
VTA00145,2024-10-19,P005,C018,V005,2,100,5,190.0,60,80
VTA00146,2025-06-06,P001,C009,V001,2,1200,10,2160.0,900,600
VTA00147,2024-08-16,P002,C020,V006,2,800,15,1360.0,600,400
VTA00148,2025-05-22,P003,C002,V005,4,150,15,510.0,90,240
VTA00149,2024-06-17,P004,C012,V005,4,300,0,1200.0,200,400
VTA00150,2025-01-31,P002,C016,V002,2,800,5,1520.0,600,400
VTA00151,2024-07-24,P004,C015,V005,1,300,0,300.0,200,100
VTA00152,2025-06-02,P004,C017,V001,5,300,10,1350.0,200,500
VTA00153,2024-05-12,P003,C017,V002,3,150,5,427.5,90,180
VTA00154,2025-06-04,P005,C002,V004,3,100,15,255.0,60,120
VTA00155,2025-12-27,P004,C009,V008,1,300,5,285.0,200,100
VTA00156,2024-01-26,P002,C007,V009,5,800,0,4000.0,600,1000
VTA00157,2025-12-30,P001,C018,V004,2,1200,10,2160.0,900,600
VTA00158,2025-12-19,P003,C013,V009,4,150,5,570.0,90,240
VTA00159,2025-12-25,P004,C019,V007,4,300,10,1080.0,200,400
VTA00160,2024-09-19,P005,C020,V008,2,100,15,170.0,60,80
VTA00161,2024-04-26,P005,C004,V010,3,100,0,300.0,60,120
VTA00162,2024-08-07,P004,C003,V005,3,300,5,855.0,200,300
VTA00163,2025-12-23,P004,C005,V009,2,300,15,510.0,200,200
VTA00164,2025-08-18,P005,C015,V007,4,100,0,400.0,60,160
VTA00165,2024-07-16,P005,C003,V002,5,100,15,425.0,60,200
VTA00166,2025-03-29,P002,C010,V003,4,800,10,2880.0,600,800
VTA00167,2025-02-06,P005,C012,V003,3,100,10,270.0,60,120
VTA00168,2025-07-01,P002,C001,V007,2,800,0,1600.0,600,400
VTA00169,2024-05-02,P002,C003,V009,3,800,15,2040.0,600,600
VTA00170,2024-09-25,P004,C014,V002,3,300,5,855.0,200,300
VTA00171,2024-12-31,P003,C007,V005,1,150,10,135.0,90,60
VTA00172,2025-06-23,P005,C001,V002,5,100,0,500.0,60,200
VTA00173,2025-01-10,P003,C016,V002,5,150,5,712.5,90,300
VTA00174,2025-03-14,P005,C015,V002,5,100,15,425.0,60,200
VTA00175,2025-07-14,P004,C015,V007,5,300,10,1350.0,200,500
VTA00176,2025-09-25,P005,C011,V002,4,100,5,380.0,60,160
VTA00177,2024-02-02,P003,C018,V009,5,150,10,675.0,90,300
VTA00178,2024-03-25,P005,C020,V007,2,100,5,190.0,60,80
VTA00179,2025-02-07,P004,C006,V009,3,300,15,765.0,200,300
VTA00180,2025-09-13,P004,C016,V006,4,300,0,1200.0,200,400
VTA00181,2025-11-04,P004,C012,V005,3,300,10,810.0,200,300
VTA00182,2024-10-17,P004,C011,V009,3,300,15,765.0,200,300
VTA00183,2025-06-21,P004,C003,V005,5,300,5,1425.0,200,500
VTA00184,2024-09-04,P002,C017,V007,4,800,10,2880.0,600,800
VTA00185,2024-12-30,P003,C005,V008,5,150,15,637.5,90,300
VTA00186,2025-02-03,P003,C018,V006,5,150,5,712.5,90,300
VTA00187,2025-01-21,P001,C006,V003,5,1200,10,5400.0,900,1500
VTA00188,2024-02-12,P003,C003,V003,4,150,15,510.0,90,240
VTA00189,2025-01-30,P001,C020,V005,4,1200,0,4800.0,900,1200
VTA00190,2024-01-03,P003,C020,V007,1,150,10,135.0,90,60
VTA00191,2025-04-15,P002,C011,V004,5,800,5,3800.0,600,1000
VTA00192,2025-06-13,P003,C015,V001,3,150,10,405.0,90,180
VTA00193,2024-01-08,P004,C013,V008,2,300,5,570.0,200,200
VTA00194,2025-07-28,P001,C009,V006,2,1200,10,2160.0,900,600
VTA00195,2025-04-16,P004,C007,V006,1,300,0,300.0,200,100
VTA00196,2025-12-08,P003,C019,V002,1,150,0,150.0,90,60
VTA00197,2025-03-29,P005,C002,V005,5,100,5,475.0,60,200
VTA00198,2025-07-17,P003,C005,V002,5,150,0,750.0,90,300
VTA00199,2025-08-05,P004,C006,V010,4,300,5,1140.0,200,400
VTA00200,2025-05-26,P001,C007,V009,1,1200,10,1080.0,900,300
VTA00201,2025-09-16,P004,C007,V006,2,300,0,600.0,200,200
VTA00202,2024-06-22,P005,C018,V004,3,100,0,300.0,60,120
VTA00203,2025-11-02,P001,C015,V008,3,1200,5,3420.0,900,900
VTA00204,2025-09-26,P004,C011,V007,1,300,0,300.0,200,100
VTA00205,2024-05-22,P004,C010,V007,2,300,0,600.0,200,200
VTA00206,2025-10-15,P001,C001,V002,4,1200,0,4800.0,900,1200
VTA00207,2025-05-24,P005,C012,V008,1,100,5,95.0,60,40
VTA00208,2024-07-15,P001,C003,V003,4,1200,15,4080.0,900,1200
VTA00209,2025-05-28,P001,C014,V002,5,1200,5,5700.0,900,1500
VTA00210,2024-08-09,P001,C013,V005,5,1200,10,5400.0,900,1500
VTA00211,2025-11-02,P003,C006,V002,3,150,5,427.5,90,180
VTA00212,2025-08-09,P002,C007,V005,4,800,0,3200.0,600,800
VTA00213,2025-05-08,P005,C018,V007,5,100,5,475.0,60,200
VTA00214,2025-08-25,P003,C019,V007,3,150,5,427.5,90,180
VTA00215,2024-11-20,P002,C008,V009,4,800,10,2880.0,600,800
VTA00216,2024-01-02,P002,C007,V008,1,800,15,680.0,600,200
VTA00217,2024-05-07,P002,C002,V002,3,800,5,2280.0,600,600
VTA00218,2024-08-08,P003,C002,V010,2,150,0,300.0,90,120
VTA00219,2025-10-25,P002,C014,V004,5,800,5,3800.0,600,1000
VTA00220,2024-03-10,P002,C011,V008,1,800,15,680.0,600,200
VTA00221,2024-04-02,P005,C011,V009,3,100,5,285.0,60,120
VTA00222,2025-02-16,P005,C018,V001,2,100,10,180.0,60,80
VTA00223,2024-03-15,P004,C013,V007,4,300,5,1140.0,200,400
VTA00224,2024-05-23,P003,C004,V002,5,150,10,675.0,90,300
VTA00225,2024-05-13,P005,C002,V008,1,100,0,100.0,60,40
VTA00226,2025-11-25,P001,C003,V001,3,1200,5,3420.0,900,900
VTA00227,2025-01-05,P002,C020,V002,2,800,15,1360.0,600,400
VTA00228,2024-01-04,P001,C008,V010,4,1200,0,4800.0,900,1200
VTA00229,2025-11-01,P005,C013,V010,3,100,5,285.0,60,120
VTA00230,2025-06-20,P004,C003,V008,1,300,15,255.0,200,100
VTA00231,2025-09-25,P001,C011,V002,4,1200,0,4800.0,900,1200
VTA00232,2024-05-28,P005,C012,V003,1,100,10,90.0,60,40
VTA00233,2024-07-29,P004,C015,V007,4,300,15,1020.0,200,400
VTA00234,2024-06-10,P004,C001,V008,2,300,5,570.0,200,200
VTA00235,2025-04-04,P002,C003,V001,3,800,0,2400.0,600,600
VTA00236,2025-11-04,P002,C016,V005,4,800,0,3200.0,600,800
VTA00237,2025-05-04,P005,C020,V006,4,100,5,380.0,60,160
VTA00238,2025-10-22,P001,C005,V007,2,1200,15,2040.0,900,600
VTA00239,2025-08-06,P004,C014,V009,1,300,10,270.0,200,100
VTA00240,2024-04-22,P002,C015,V004,4,800,0,3200.0,600,800
VTA00241,2025-02-14,P001,C003,V001,1,1200,10,1080.0,900,300
VTA00242,2025-11-09,P004,C011,V002,3,300,0,900.0,200,300
VTA00243,2024-01-05,P004,C012,V009,2,300,15,510.0,200,200
VTA00244,2024-03-03,P002,C010,V006,4,800,10,2880.0,600,800
VTA00245,2024-01-19,P001,C002,V005,5,1200,0,6000.0,900,1500
VTA00246,2025-10-02,P003,C002,V004,1,150,0,150.0,90,60
VTA00247,2024-09-13,P005,C018,V009,1,100,10,90.0,60,40
VTA00248,2024-12-04,P003,C001,V002,1,150,0,150.0,90,60
VTA00249,2025-11-11,P005,C003,V003,2,100,15,170.0,60,80
VTA00250,2025-12-28,P003,C001,V010,2,150,5,285.0,90,120
VTA00251,2024-10-27,P004,C006,V003,5,300,0,1500.0,200,500
VTA00252,2025-02-05,P005,C015,V002,3,100,15,255.0,60,120
VTA00253,2024-09-30,P003,C003,V005,1,150,15,127.5,90,60
VTA00254,2024-03-28,P003,C006,V001,3,150,15,382.5,90,180
VTA00255,2024-02-03,P005,C005,V003,4,100,0,400.0,60,160
VTA00256,2024-12-22,P005,C018,V001,3,100,10,270.0,60,120
VTA00257,2025-05-20,P004,C011,V004,1,300,10,270.0,200,100
VTA00258,2025-06-18,P001,C020,V010,3,1200,15,3060.0,900,900
VTA00259,2024-02-01,P003,C001,V008,3,150,5,427.5,90,180
VTA00260,2025-10-18,P002,C003,V009,5,800,10,3600.0,600,1000
VTA00261,2024-02-19,P001,C008,V006,1,1200,0,1200.0,900,300
VTA00262,2025-08-08,P005,C011,V004,4,100,10,360.0,60,160
VTA00263,2024-07-24,P001,C017,V006,3,1200,10,3240.0,900,900
VTA00264,2025-03-16,P004,C007,V007,5,300,10,1350.0,200,500
VTA00265,2024-12-04,P003,C009,V009,3,150,10,405.0,90,180
VTA00266,2024-12-02,P004,C013,V006,5,300,0,1500.0,200,500
VTA00267,2024-12-21,P005,C001,V003,5,100,15,425.0,60,200
VTA00268,2024-10-27,P004,C011,V008,2,300,0,600.0,200,200
VTA00269,2025-03-12,P004,C001,V002,2,300,15,510.0,200,200
VTA00270,2024-07-22,P003,C018,V003,5,150,10,675.0,90,300
VTA00271,2024-05-18,P005,C017,V003,5,100,0,500.0,60,200
VTA00272,2025-12-15,P004,C019,V008,1,300,5,285.0,200,100
VTA00273,2024-10-10,P003,C018,V008,1,150,5,142.5,90,60
VTA00274,2025-01-12,P004,C014,V002,3,300,5,855.0,200,300
VTA00275,2025-05-21,P002,C008,V003,4,800,15,2720.0,600,800
VTA00276,2024-11-01,P001,C019,V006,3,1200,0,3600.0,900,900
VTA00277,2025-10-18,P001,C015,V008,3,1200,0,3600.0,900,900
VTA00278,2024-11-21,P004,C009,V007,2,300,10,540.0,200,200
VTA00279,2025-03-18,P005,C012,V010,3,100,10,270.0,60,120
VTA00280,2024-06-05,P002,C006,V010,4,800,5,3040.0,600,800
VTA00281,2024-10-16,P004,C019,V007,3,300,10,810.0,200,300
VTA00282,2025-04-20,P003,C003,V009,1,150,10,135.0,90,60
VTA00283,2024-05-04,P004,C004,V005,2,300,0,600.0,200,200
VTA00284,2025-07-16,P004,C017,V005,4,300,10,1080.0,200,400
VTA00285,2025-04-27,P003,C015,V006,1,150,15,127.5,90,60
VTA00286,2025-07-10,P004,C002,V006,1,300,0,300.0,200,100
VTA00287,2024-11-09,P004,C014,V001,2,300,10,540.0,200,200
VTA00288,2025-10-21,P004,C005,V010,1,300,5,285.0,200,100
VTA00289,2025-08-18,P001,C017,V010,5,1200,0,6000.0,900,1500
VTA00290,2024-09-08,P003,C013,V010,5,150,10,675.0,90,300
VTA00291,2024-03-28,P002,C011,V001,3,800,15,2040.0,600,600
VTA00292,2025-05-22,P001,C013,V008,3,1200,5,3420.0,900,900
VTA00293,2024-10-15,P001,C015,V002,5,1200,10,5400.0,900,1500
VTA00294,2025-02-12,P005,C004,V010,1,100,15,85.0,60,40
VTA00295,2024-04-11,P005,C008,V006,5,100,10,450.0,60,200
VTA00296,2025-01-29,P001,C012,V003,4,1200,10,4320.0,900,1200
VTA00297,2024-08-21,P003,C014,V010,3,150,0,450.0,90,180
VTA00298,2025-07-15,P002,C003,V003,2,800,15,1360.0,600,400
VTA00299,2024-03-08,P003,C010,V007,1,150,5,142.5,90,60
VTA00300,2025-03-10,P004,C003,V006,1,300,5,285.0,200,100
VTA00301,2025-02-08,P003,C009,V004,4,150,10,540.0,90,240
VTA00302,2024-05-12,P001,C018,V005,5,1200,0,6000.0,900,1500
VTA00303,2024-08-06,P002,C004,V001,3,800,15,2040.0,600,600
VTA00304,2024-06-16,P001,C012,V003,1,1200,15,1020.0,900,300
VTA00305,2024-08-10,P002,C006,V001,4,800,0,3200.0,600,800
VTA00306,2024-03-27,P004,C015,V009,3,300,10,810.0,200,300
VTA00307,2024-10-25,P002,C007,V003,1,800,10,720.0,600,200
VTA00308,2025-11-20,P003,C019,V007,4,150,5,570.0,90,240
VTA00309,2024-07-23,P002,C019,V007,2,800,15,1360.0,600,400
VTA00310,2025-05-13,P001,C016,V002,1,1200,10,1080.0,900,300
VTA00311,2025-02-13,P003,C015,V005,1,150,15,127.5,90,60
VTA00312,2025-08-16,P004,C018,V004,4,300,5,1140.0,200,400
VTA00313,2025-05-06,P005,C020,V002,1,100,5,95.0,60,40
VTA00314,2025-08-04,P003,C019,V010,4,150,10,540.0,90,240
VTA00315,2025-09-06,P003,C008,V005,5,150,10,675.0,90,300
VTA00316,2025-08-21,P005,C011,V009,3,100,10,270.0,60,120
VTA00317,2025-09-18,P004,C005,V009,1,300,5,285.0,200,100
VTA00318,2025-05-01,P002,C001,V004,2,800,0,1600.0,600,400
VTA00319,2024-07-04,P003,C017,V005,2,150,10,270.0,90,120
VTA00320,2025-10-15,P002,C010,V009,5,800,5,3800.0,600,1000
VTA00321,2024-12-27,P003,C007,V009,1,150,15,127.5,90,60
VTA00322,2025-05-31,P002,C001,V008,4,800,0,3200.0,600,800
VTA00323,2024-08-18,P003,C009,V004,3,150,5,427.5,90,180
VTA00324,2025-02-23,P002,C002,V003,5,800,5,3800.0,600,1000
VTA00325,2025-02-07,P001,C012,V005,5,1200,15,5100.0,900,1500
VTA00326,2024-10-27,P003,C012,V004,3,150,10,405.0,90,180
VTA00327,2024-05-21,P003,C020,V008,4,150,10,540.0,90,240
VTA00328,2025-04-02,P004,C015,V010,5,300,10,1350.0,200,500
VTA00329,2024-11-25,P003,C018,V004,5,150,15,637.5,90,300
VTA00330,2025-01-01,P002,C001,V007,5,800,10,3600.0,600,1000
VTA00331,2025-03-07,P002,C001,V002,1,800,15,680.0,600,200
VTA00332,2025-08-29,P001,C001,V004,2,1200,15,2040.0,900,600
VTA00333,2025-02-01,P001,C012,V007,2,1200,10,2160.0,900,600
VTA00334,2024-08-23,P001,C003,V009,3,1200,5,3420.0,900,900
VTA00335,2025-12-05,P001,C011,V001,1,1200,15,1020.0,900,300
VTA00336,2025-01-21,P002,C015,V004,1,800,10,720.0,600,200
VTA00337,2024-06-14,P001,C019,V009,3,1200,15,3060.0,900,900
VTA00338,2025-05-05,P005,C005,V007,5,100,0,500.0,60,200
VTA00339,2024-06-25,P002,C007,V010,1,800,5,760.0,600,200
VTA00340,2024-07-21,P001,C001,V003,2,1200,15,2040.0,900,600
VTA00341,2025-05-04,P004,C008,V005,3,300,0,900.0,200,300
VTA00342,2024-02-01,P004,C007,V003,3,300,5,855.0,200,300
VTA00343,2024-12-11,P001,C013,V002,2,1200,10,2160.0,900,600
VTA00344,2025-03-21,P005,C009,V009,5,100,10,450.0,60,200
VTA00345,2025-11-18,P002,C016,V009,2,800,5,1520.0,600,400
VTA00346,2025-07-31,P002,C007,V002,3,800,0,2400.0,600,600
VTA00347,2024-12-22,P003,C014,V002,3,150,5,427.5,90,180
VTA00348,2025-01-01,P002,C020,V008,5,800,15,3400.0,600,1000
VTA00349,2025-12-03,P004,C010,V006,4,300,0,1200.0,200,400
VTA00350,2025-02-10,P002,C008,V003,3,800,15,2040.0,600,600
VTA00351,2024-09-25,P001,C018,V003,3,1200,0,3600.0,900,900
VTA00352,2024-11-11,P004,C013,V002,3,300,5,855.0,200,300
VTA00353,2025-11-28,P004,C017,V002,4,300,5,1140.0,200,400
VTA00354,2024-04-23,P005,C001,V003,5,100,10,450.0,60,200
VTA00355,2025-12-03,P003,C017,V006,4,150,10,540.0,90,240
VTA00356,2024-12-10,P003,C011,V003,2,150,15,255.0,90,120
VTA00357,2024-06-13,P004,C007,V006,3,300,15,765.0,200,300
VTA00358,2024-03-09,P005,C012,V009,4,100,15,340.0,60,160
VTA00359,2024-09-08,P002,C013,V004,3,800,10,2160.0,600,600
VTA00360,2025-04-01,P001,C017,V002,4,1200,5,4560.0,900,1200
VTA00361,2025-02-18,P004,C005,V001,3,300,15,765.0,200,300
VTA00362,2025-03-11,P003,C020,V005,1,150,10,135.0,90,60
VTA00363,2025-01-29,P005,C003,V008,4,100,10,360.0,60,160
VTA00364,2024-09-17,P002,C002,V005,3,800,5,2280.0,600,600
VTA00365,2024-02-20,P005,C010,V005,3,100,0,300.0,60,120
VTA00366,2024-01-11,P003,C017,V007,4,150,0,600.0,90,240
VTA00367,2024-08-12,P004,C008,V004,2,300,0,600.0,200,200
VTA00368,2024-06-04,P003,C016,V009,2,150,10,270.0,90,120
VTA00369,2024-05-16,P001,C018,V005,1,1200,15,1020.0,900,300
VTA00370,2024-09-14,P005,C012,V001,2,100,15,170.0,60,80
VTA00371,2024-04-14,P005,C004,V001,3,100,10,270.0,60,120
VTA00372,2024-12-24,P003,C006,V002,3,150,15,382.5,90,180
VTA00373,2024-05-03,P005,C018,V001,3,100,0,300.0,60,120
VTA00374,2024-04-30,P001,C020,V008,2,1200,5,2280.0,900,600
VTA00375,2025-08-25,P004,C009,V009,2,300,5,570.0,200,200
VTA00376,2025-09-14,P004,C009,V007,2,300,15,510.0,200,200
VTA00377,2024-05-23,P002,C017,V005,3,800,5,2280.0,600,600
